date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:34:57	235416/235416	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202023%2008:32:34%20GMT	https://www.estorefactory.com/wp-content/uploads/2023/01/23.jpg	E:/Dawnloads/estore/www.estorefactory.com/wp-content/uploads/2023/01/23.jpg	(from https://www.estorefactory.com/portfolio/page/7/)
02:34:57	350/350	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Apr%202023%2021:04:57%20GMT	https://www.estorefactory.com/portfolio/page/25/t.src	E:/Dawnloads/estore/www.estorefactory.com/portfolio/page/25/t.src	(from https://www.estorefactory.com/portfolio/page/25/)
02:34:57	358083/358083	---MCZ	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202023%2008:15:12%20GMT	https://www.estorefactory.com/wp-content/uploads/2023/01/21.jpg	E:/Dawnloads/estore/www.estorefactory.com/wp-content/uploads/2023/01/21.jpg	(from https://www.estorefactory.com/portfolio/page/7/)
02:34:58	213138/213138	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2016:16:48%20GMT	https://www.estorefactory.com/portfolio/page/9/	E:/Dawnloads/estore/www.estorefactory.com/portfolio/page/9/index.html	(from https://www.estorefactory.com/portfolio/page/7/)
02:34:58	36944/36944	---M-Z	410	error ('Gone')	text/html	date:Thu,%2013%20Apr%202023%2021:04:57%20GMT	https://www.estorefactory.com/portfolio/page/25/t.src/	E:/Dawnloads/estore/www.estorefactory.com/portfolio/page/25/t.src/index.html	(from https://www.estorefactory.com/portfolio/page/25/)
02:35:00	117926/117926	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2005%20Nov%202020%2004:42:23%20GMT	https://www.estorefactory.com/wp-content/uploads/2020/11/Infographic_2.jpg	E:/Dawnloads/estore/www.estorefactory.com/wp-content/uploads/2020/11/Infographic_2.jpg	(from https://www.estorefactory.com/portfolio/page/25/)
02:35:00	105065/105065	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2005%20Nov%202020%2004:35:47%20GMT	https://www.estorefactory.com/wp-content/uploads/2020/11/09.jpg	E:/Dawnloads/estore/www.estorefactory.com/wp-content/uploads/2020/11/09.jpg	(from https://www.estorefactory.com/portfolio/page/25/)
02:35:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Apr%202023%2021:04:58%20GMT	https://www.estorefactory.com/portfolio/infographic//	E:/Dawnloads/estore/www.estorefactory.com/portfolio/infographic/index.html	(from https://www.estorefactory.com/portfolio/page/25/)
02:35:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Apr%202023%2021:04:59%20GMT	https://www.estorefactory.com/portfolio/before-after-9//	E:/Dawnloads/estore/www.estorefactory.com/portfolio/before-after-9/index.html	(from https://www.estorefactory.com/portfolio/page/25/)
02:35:02	132777/132777	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2005%20Nov%202020%2004:35:07%20GMT	https://www.estorefactory.com/wp-content/uploads/2020/11/08.jpg	E:/Dawnloads/estore/www.estorefactory.com/wp-content/uploads/2020/11/08.jpg	(from https://www.estorefactory.com/portfolio/page/25/)
02:35:02	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Apr%202023%2021:05:01%20GMT	https://www.estorefactory.com/portfolio/before-after-8//	E:/Dawnloads/estore/www.estorefactory.com/portfolio/before-after-8/index.html	(from https://www.estorefactory.com/portfolio/page/25/)
02:35:02	65700/65700	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2005%20Nov%202020%2004:34:32%20GMT	https://www.estorefactory.com/wp-content/uploads/2020/11/07-1.jpg	E:/Dawnloads/estore/www.estorefactory.com/wp-content/uploads/2020/11/07-1.jpg	(from https://www.estorefactory.com/portfolio/page/25/)
02:35:03	53005/53005	---M-Z	200	added ('OK')	image/jpeg	date:Thu,%2005%20Nov%202020%2004:48:43%20GMT	https://www.estorefactory.com/wp-content/uploads/2020/11/06-1.jpg	E:/Dawnloads/estore/www.estorefactory.com/wp-content/uploads/2020/11/06-1.jpg	(from https://www.estorefactory.com/portfolio/page/25/)
